Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Chris Smith,31,26,28.3,4.5,9.7,0.458,3.5,6.9,0.507,1,2.8,0.341,3.2,3.8,0.84,1.6,3.7,5.4,1.6,1,0.4,2.5,2.6,13.1
2,Jalen Hill,30,25,24.1,2.9,5.5,0.533,2.9,5.5,0.533,0,0,,3.2,4.3,0.736,2.5,4.4,6.9,1.2,0.6,1.1,1.9,2.3,9
3,Jaime Jaquez,31,23,26.6,3.2,7,0.454,2.4,4.4,0.537,0.8,2.6,0.313,1.7,2.3,0.761,1.6,3.2,4.8,1.4,1.4,0.4,1.5,2.5,8.9
4,Cody Riley,31,17,20.4,3.7,7.1,0.518,3.7,6.9,0.53,0,0.2,0,1.5,2.7,0.548,1.6,2.8,4.5,0.8,0.4,0.5,1.7,3,8.8
5,Tyger Campbell,31,31,30,2.8,7.8,0.358,2,4.9,0.412,0.8,2.9,0.267,1.9,2.8,0.674,0.6,1.7,2.4,5,0.8,0,1.8,2,8.3
6,Prince Ali,26,15,18.7,2.3,6.1,0.38,1.7,3.8,0.444,0.6,2.3,0.271,1.6,2.3,0.712,0.7,1.6,2.3,1,0.9,0.2,1.1,1.6,6.8
7,Jules Bernard,30,1,16.2,1.8,4.5,0.39,1.1,2.5,0.447,0.6,2,0.317,1.3,1.7,0.784,0.6,2,2.6,0.6,0.5,0.2,1.1,1.5,5.5
8,Jake Kyman,26,0,12.1,2,4.3,0.451,0.8,1.4,0.556,1.2,3,0.403,0.2,0.3,0.556,0.2,1.1,1.3,0.3,0.3,0.2,0.4,0.8,5.3
9,David Singleton,30,14,20.2,1.3,3.8,0.345,0.2,0.7,0.238,1.1,3.1,0.37,0.4,0.5,0.857,0.2,1.7,1.8,1,0.7,0.1,0.5,1.3,4.1
10,Shareef O'Neal,13,0,10.2,0.7,2.2,0.321,0.5,1.7,0.318,0.2,0.5,0.333,0.7,1.5,0.474,1.3,1.6,2.9,0.2,0.3,0.2,0.7,1.4,2.2
11,Alex Olesinski,26,3,8.7,0.5,1.3,0.343,0.3,0.7,0.412,0.2,0.7,0.278,0.2,0.3,0.571,0.5,1.2,1.7,0.3,0.3,0.3,0.2,0.9,1.3
12,Armani Dodson,3,0,1.7,0.3,0.3,1,0.3,0.3,1,0,0,,0,0,,0.3,1,1.3,0,0,0,0,0.3,0.7
13,Russell Stong,5,0,1.4,0.2,0.4,0.5,0.2,0.2,1,0,0.2,0,0,0,,0,0,0,0,0,0,0,0.2,0.4
14,Isaac Wulff,2,0,1.5,0,0.5,0,0,0.5,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
