Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kris Wilkes,33,33,31.7,6.2,14.3,0.433,4.1,8.1,0.508,2.1,6.2,0.337,2.9,4.3,0.671,1.2,3.6,4.8,1.7,0.6,0.4,1.9,2.2,17.4
2,Jaylen Hands,33,33,31.2,4.8,11.6,0.413,2.8,6.2,0.447,2,5.4,0.373,2.6,3.3,0.78,0.4,3.3,3.7,6.1,1.3,0.2,3.2,1.2,14.2
3,Moses Brown,32,31,23.4,4.2,6.8,0.607,4.2,6.8,0.607,0,0,,1.4,4,0.352,3.4,4.9,8.3,0.3,0.6,1.9,1.5,2.3,9.7
4,Prince Ali,26,26,24.6,3.3,7.8,0.429,1.9,3.6,0.532,1.4,4.2,0.339,1.5,2.2,0.679,0.7,2,2.7,1.5,1.3,0.2,1.7,1.8,9.6
5,Jules Bernard,33,2,17.2,2.5,5.3,0.469,1.8,3.4,0.522,0.7,1.9,0.371,2,2.7,0.739,0.8,2.3,3.1,0.8,0.5,0.1,1.5,2.1,7.6
6,Chris Smith,33,12,19.6,2.3,5.6,0.405,1.8,3.9,0.461,0.5,1.7,0.281,1.2,1.7,0.719,0.6,3.1,3.7,1.3,0.4,0.3,1.4,1.7,6.3
7,Cody Riley,30,8,17.5,2.1,4.4,0.474,1.9,3.8,0.504,0.2,0.7,0.3,1.1,2.2,0.523,0.9,3.2,4.1,0.7,0.3,0.4,1.4,2.3,5.5
8,David Singleton,32,5,17.5,1.7,3.7,0.449,0.6,1.3,0.419,1.1,2.3,0.467,0.8,1.2,0.684,0.1,1.1,1.2,1,0.5,0.2,0.4,1,5.2
9,Jalen Hill,33,15,20.3,1.5,2.6,0.563,1.5,2.6,0.563,0,0,,1.3,2,0.677,1.9,4.2,6,1.2,0.4,0.4,1.1,2.1,4.3
10,Alex Olesinski,17,0,10.6,0.8,1.7,0.448,0.5,0.8,0.643,0.2,0.9,0.267,0.5,0.7,0.75,0.8,1.6,2.4,0.1,0.5,0.3,0.3,1.2,2.3
11,Kenneth Nwuba,17,0,2.9,0.1,0.4,0.286,0.1,0.4,0.286,0,0,,0.2,0.4,0.429,0.3,0.4,0.6,0.1,0.1,0.1,0.3,0.9,0.4
12,Armani Dodson,7,0,1.4,0,0,,0,0,,0,0,,0,0,,0,0.4,0.4,0,0,0.1,0,0.1,0
13,Russell Stong,4,0,1.3,0,0.5,0,0,0.3,0,0,0.3,0,0,0,,0,0,0,0,0,0,0.3,0,0
